hours_studied,practice_problems,sleep_hours,passed
7.0,9,8.5,1
6.6,18,6.0,0
0.7,1,8.1,0
7.0,16,4.8,0
3.2,20,7.2,0
4.5,17,7.8,0
9.8,5,6.0,1
0.6,18,4.8,0
1.8,7,4.2,0
1.1,4,4.6,0
8.5,20,8.6,0
7.0,2,5.5,0
2.4,20,5.5,0
1.3,4,4.2,0
7.1,10,6.6,1
1.9,7,6.2,0
2.8,1,8.0,0
7.1,4,7.2,0
0.7,8,7.5,0
3.1,3,5.5,0
5.1,13,7.5,1
6.3,3,5.8,0
4.0,4,7.3,0
9.9,3,4.1,0
7.7,0,5.2,0
0.1,3,5.0,0
3.3,13,6.7,0
0.2,12,5.2,0
8.4,10,7.6,1
1.1,18,7.2,0
3.6,17,5.8,0
7.9,16,5.5,0
3.8,14,5.9,0
0.3,1,7.8,0
2.6,19,5.7,0
3.3,2,5.9,0
5.7,0,4.1,0
7.7,9,6.5,1
5.5,9,8.8,1
0.2,3,6.2,0
8.5,10,8.1,1
4.1,7,5.9,1
7.6,6,7.2,0
2.3,20,4.4,0
0.4,9,5.6,0
3.6,9,5.5,0
8.1,19,7.8,0
9.7,9,6.9,1
5.5,8,5.9,1
7.9,14,5.5,1
7.4,9,4.4,1
0.3,16,5.9,0
2.6,10,5.3,0
1.2,3,5.6,0
7.2,4,7.5,0
1.1,18,4.1,0
3.6,13,8.8,0
2.1,5,7.0,0
8.9,4,6.0,0
8.0,20,8.0,0
6.0,6,8.4,1
2.2,2,4.9,0
6.3,7,6.2,1
4.9,17,7.7,0
5.4,0,7.0,0
8.7,11,4.5,1
6.1,14,8.4,1
2.8,18,5.8,0
0.5,4,7.2,0
3.3,4,5.8,0
1.8,1,8.2,0
2.3,12,5.8,0
2.3,13,7.9,0
2.5,2,6.7,0
4.4,10,7.9,1
2.8,2,4.9,0
8.1,6,4.1,1
5.7,18,6.2,0
2.8,11,5.3,0
6.1,19,7.7,0
1.1,7,5.9,0
9.8,9,4.8,1
7.9,15,8.6,1
5.9,19,7.0,0
6.2,11,6.2,0
0.2,11,7.5,0
3.6,3,4.5,0
1.4,13,4.2,0
6.8,6,8.3,1
6.3,12,4.1,1
9.1,17,8.9,0
8.9,15,5.2,1
9.6,12,5.6,1
2.6,9,5.8,0
2.7,16,8.0,0
6.7,12,6.2,1
7.0,20,8.9,0
6.8,5,6.0,1
6.4,17,6.8,0
2.5,7,6.0,0
8.1,7,6.0,1
1.2,5,5.3,0
4.6,0,6.6,0
3.8,3,8.0,0
6.1,15,5.8,1
1.5,15,7.4,0
6.9,0,4.7,0
0.4,5,8.6,0
9.0,2,4.3,0
7.0,11,4.1,1
