years_experience,projects_completed,coffee_cups,monthly_salary
1.5,1,5,1719.0
6.0,6,4,3386.0
7.2,12,3,4357.0
0.3,10,2,1832.0
1.8,12,1,2347.0
11.1,0,5,5030.0
0.8,7,5,1474.0
1.6,0,1,1638.0
11.4,2,1,5582.0
7.5,12,1,4317.0
4.4,1,2,2425.0
6.1,8,1,4029.0
8.0,0,2,4133.0
3.3,4,5,3062.0
1.7,13,2,2396.0
9.5,4,5,4590.0
8.0,4,3,3818.0
6.1,1,2,3711.0
9.8,11,5,5767.0
6.6,2,2,3395.0
11.8,7,4,5483.0
2.5,0,1,2224.0
6.6,0,5,3302.0
5.8,12,4,3702.0
4.2,0,5,2583.0
7.1,6,0,4003.0
2.8,6,0,2724.0
9.6,1,0,4611.0
10.4,9,3,5475.0
1.5,11,2,2115.0
5.6,14,5,3872.0
3.3,2,1,1910.0
1.0,13,1,1773.0
10.8,0,5,5179.0
5.2,2,1,2962.0
1.8,8,4,2335.0
8.1,13,1,4756.0
2.4,13,3,2956.0
10.8,11,0,5678.0
2.6,0,3,2364.0
0.4,6,5,1582.0
2.4,12,4,2405.0
4.1,7,5,2767.0
5.6,2,4,3128.0
10.9,10,3,5183.0
8.4,1,5,4048.0
4.1,10,2,3062.0
0.2,0,0,1333.0
1.9,5,3,2005.0
12.0,4,3,5099.0
